"","ID","Mean","SD","Modal","Median","Kurtosis","Skewness","Rq","Ra","Rsk","Rku","ASM","CONT","CORR","IDM","ENT","Flake.ID","Flake.Time","Dorsal.Ventral","No.Photo","Photo.Type","Flake.Number","Flint.Type"
"1","HDisc_01_11 Neocortex 01c.tif ",78.8051,48.0084,52,72,0.1928,0.6877,92.238,78.962,1.404,2.265,0.00075485625,2590.37363125,0.000190696875,0.04392375,7.47864375,"HDisc_01_11","Neocortex","01","1","Screened","11","GeoSample"
"2","HDisc_01_11 Neocortex 2c.tif ",79.4588,49.0694,57,72,0.2201,0.7342,93.279,79.431,1.425,2.324,0.00067605,2580.71723125,0.000193216875,0.043569375,7.6160375,"HDisc_01_11","Neocortex","01","2","Screened","11","GeoSample"
"3","HDisc_01_11 Neocortex 3c.tif ",79.246,48.648,48,72,0.09645,0.6573,92.902,79.279,1.412,2.268,0.00053045625,2622.32743125,0.00018902375,0.0397,7.8183,"HDisc_01_11","Neocortex","01","3","Screened","11","GeoSample"
"4","HDisc_01_11 Neocortex 4c.tif ",83.636,49.8806,52,80,-0.1841,0.5215,97.097,83.571,1.384,2.157,0.0004967,2769.1243375,0.000178855,0.039334375,7.85678125,"HDisc_01_11","Neocortex","01","4","Screened","11","GeoSample"
"5","HDisc_01_11 Neocortex 5c.tif ",72.931,42.9089,57,65,1.1128,0.9028,84.399,73.105,1.428,2.39,0.0009690375,2430.54530625,0.00018597875,0.044943125,7.27573125,"HDisc_01_11","Neocortex","01","5","Screened","11","GeoSample"
"6","Hdisc_01_12 Neocortex 01c.tif ",81.6403,47.6198,78,78,0.006416,0.51,94.272,81.652,1.365,2.125,0.00051288125,2489.18659375,0.0001995875,0.041239375,7.82883125,"Hdisc_01_12","Neocortex","01","1","Screened","12","GeoSample"
"7","Hdisc_01_14 Neocortex 1c.tif ",92.8643,50.2287,86,90,-0.2795,0.3427,105.524,92.899,1.306,1.914,0.000547375,3166.68004375,0.0001487075,0.038661875,7.73456875,"Hdisc_01_14","Neocortex","01","1","Screened","14","GeoSample"
"8","HDisc_02_04 Neocortex 01c.tif ",72.9752,46.1215,47,66,0.4515,0.7352,86.321,72.905,1.43,2.381,0.0004077125,2257.53444375,0.000221125,0.040278125,8.10106875,"HDisc_02_04","Neocortex","01","1","Screened","04","GeoSample"
"9","HDisc_07_14 Neocortex 01c.tif ",97.5721,48.2273,100,96,-0.2795,0.217,108.828,97.351,1.262,1.757,0.00047205,3214.7771125,0.000134841875,0.03394125,7.88733125,"HDisc_07_14","Neocortex","01","1","Screened","14","GeoSample"
"10","HDisc_07_14 Neocortex 2c.tif ",92.8069,46.6795,91,91,-0.1081,0.2884,103.636,92.765,1.287,1.833,0.000438675,2829.86364375,0.000162668125,0.03569625,7.98179375,"HDisc_07_14","Neocortex","01","2","Screened","14","GeoSample"
"11","HDisc_07_14 Neocortex 3c.tif ",97.8123,48.9589,104,98,-0.3499,0.1969,109.089,97.765,1.278,1.787,0.00038305625,3187.48935625,0.00014154875,0.03236375,8.0868375,"HDisc_07_14","Neocortex","01","3","Screened","14","GeoSample"
"12","HDisc_07_14 Neocortex 4c.tif ",93.9463,46.1703,98,95,-0.1883,0.2046,104.512,94.145,1.262,1.765,0.00034373125,2855.28070625,0.000156999375,0.032515625,8.2122375,"HDisc_07_14","Neocortex","01","4","Screened","14","GeoSample"
"13","HDisc_07_14 Neocortex 5c.tif ",88.5717,48.9443,77,83,-0.06056,0.489,101.059,88.335,1.34,2.023,0.0003848,2844.69010625,0.000170515,0.034293125,8.12235,"HDisc_07_14","Neocortex","01","5","Screened","14","GeoSample"
"14","HDisc_07_23 Neocortex 1c.tif ",97.7909,50.0058,96,96,-0.3983,0.2404,109.881,97.861,1.275,1.796,0.0004657625,3334.3056,0.000134879375,0.0339525,7.88171875,"HDisc_07_23","Neocortex","01","1","Screened","23","GeoSample"
"15","HDisc_07_23 Neocortex 2c.tif ",92.93,49.0223,88,92,-0.25,0.3476,105.056,93.27,1.297,1.875,0.00045081875,3317.4484375,0.000130520625,0.033248125,7.92669375,"HDisc_07_23","Neocortex","01","2","Screened","23","GeoSample"
"16","HDisc_07_23 Neocortex 3c.tif ",89.9835,47.3678,85,89,-0.1441,0.3863,101.72,89.864,1.302,1.882,0.0006916,3179.28090625,0.00013180375,0.037691875,7.50618125,"HDisc_07_23","Neocortex","01","3","Screened","23","GeoSample"
"17","HDisc_07_23 Neocortex 4c.tif ",96.9583,50.2892,92,96,-0.3897,0.2756,109.203,97.048,1.284,1.827,0.00046750625,3267.05761875,0.000141388125,0.0344025,7.8809875,"HDisc_07_23","Neocortex","01","4","Screened","23","GeoSample"
"18","RMS_44 Neocortex 01c.tif ",76.6749,46.2872,51,71,0.6979,0.8541,89.314,76.616,1.435,2.385,0.000537025,2667.262025,0.000177128125,0.038455625,7.87206875,"RMS_44","Neocortex","01","1","Screened","44","Type_4"
"19","RMS_46 00.01.01a.tif ",47.2606,31.1064,36,42,7.538,1.9779,56.373,47.305,1.675,3.826,0.0011773125,1212.12743125,0.0003878625,0.055924375,7.18838125,"RMS_46","Fresh","01","01","Sequential","46","Type_4"
"20","RMS_46 00.01.02a.tif ",44.9346,31.5385,32,38,8.8639,2.2505,54.942,44.88,1.763,4.389,0.0014518125,1166.771,0.00041673125,0.058970625,7.02165,"RMS_46","Fresh","01","02","Sequential","46","Type_4"
"21","RMS_46 00.01.03a.tif ",49.7199,32.2344,37,45,6.4643,1.8124,59.278,49.785,1.612,3.506,0.00094854375,1310.15660625,0.0003574,0.051583125,7.38041875,"RMS_46","Fresh","01","03","Sequential","46","Type_4"
"22","RMS_46 00.02.04a.tif ",42.0939,30.98,32,35,10.9276,2.5954,52.313,42.031,1.885,5.155,0.0017868125,1001.83295,0.00049868125,0.066079375,6.85510625,"RMS_46","Fresh","02","04","Sequential","46","Type_4"
"23","RMS_46 00.02.05a.tif ",47.1748,31.5035,35,42,8.1764,2.1287,56.539,47.016,1.701,4.032,0.0016874375,1208.4221625,0.00039556875,0.06026,6.85931875,"RMS_46","Fresh","02","05","Sequential","46","Type_4"
"24","RMS_46 00.02.06a.tif ",58.496,35.8843,44,51,3.3109,1.3384,68.602,58.541,1.5,2.834,0.0011103125,1755.51995625,0.000249125,0.04876125,7.20240625,"RMS_46","Fresh","02","06","Sequential","46","Type_4"
"25","RMS_46 01.01.01a.tif ",49.9159,32.1851,37,45,6.0141,1.7713,59.537,49.946,1.585,3.415,0.0010996875,1340.372775,0.00034236875,0.05317,7.25539375,"RMS_46","Ten.Minutes","01","01","Sequential","46","Type_4"
"26","RMS_46 01.01.02a.tif ",53.3108,34.0375,40,46,4.8809,1.6339,63.329,53.332,1.566,3.201,0.0013190625,1506.26613125,0.00030345,0.05347,7.07310625,"RMS_46","Ten.Minutes","01","02","Sequential","46","Type_4"
"27","RMS_46 01.01.03a.tif ",60.3148,36.9175,46,55,2.9308,1.2651,70.548,60.148,1.498,2.777,0.00083675,1817.90635625,0.00024610625,0.045241875,7.46985625,"RMS_46","Ten.Minutes","01","03","Sequential","46","Type_4"
"28","RMS_46 01.02.04a.tif ",47.1503,32.0934,35,41,7.6303,2.0614,57.084,47.108,1.697,3.97,0.001297875,1254.3071125,0.00038071875,0.05656125,7.113875,"RMS_46","Ten.Minutes","02","04","Sequential","46","Type_4"
"29","RMS_46 01.02.05a.tif ",48.7514,31.5858,39,42,7.6557,2.0115,57.917,48.58,1.65,3.758,0.00155725,1276.49345,0.0003627375,0.057550625,6.91538125,"RMS_46","Ten.Minutes","02","05","Sequential","46","Type_4"
"30","RMS_46 01.02.06a.tif ",63.8113,38.7263,46,56,2.2011,1.1591,74.579,63.955,1.475,2.633,0.00096285625,2074.25686875,0.00020747875,0.04524,7.3295125,"RMS_46","Ten.Minutes","02","06","Sequential","46","Type_4"
"31","RMS_46 02.01.01a.tif ",52.7631,32.5326,43,46,5.2254,1.5874,61.988,52.734,1.539,3.085,0.0010216625,1393.99636875,0.00032455,0.050604375,7.2901125,"RMS_46","One.Hour","01","01","Sequential","46","Type_4"
"32","RMS_46 02.01.01b.tif ",52.063,32.7002,43,46,5.9212,1.7593,61.306,52.07,1.584,3.348,0.001648,1415.8644375,0.00031793125,0.05732125,6.85254375,"RMS_46","One.Hour","01","01","Screened","46","Type_4"
"33","RMS_46 02.01.02a.tif ",53.4974,33.6063,41,48,5.0767,1.635,63.17,53.531,1.561,3.189,0.0014036875,1459.22204375,0.0003151375,0.05474625,7.00543125,"RMS_46","One.Hour","01","02","Sequential","46","Type_4"
"34","RMS_46 02.01.02b.tif ",52.0121,33.3782,41,45,5.7983,1.7649,61.777,52.038,1.612,3.399,0.001532,1390.44374375,0.0003388375,0.056684375,6.92523125,"RMS_46","One.Hour","01","02","Screened","46","Type_4"
"35","RMS_46 02.01.03a.tif ",62.5522,37.4959,47,56,2.4095,1.1453,72.966,62.53,1.456,2.602,0.0007977,1855.16685,0.00024381875,0.044633125,7.499975,"RMS_46","One.Hour","01","03","Sequential","46","Type_4"
"36","RMS_46 02.01.03b.tif ",56.0441,36.119,41,49,3.9134,1.5295,66.627,56.149,1.572,3.13,0.001559375,1573.412875,0.0003054625,0.056709375,6.92495,"RMS_46","One.Hour","01","03","Screened","46","Type_4"
"37","RMS_46 02.01.04b.tif ",54.7794,35.6548,39,46,4.2456,1.589,65.181,54.787,1.593,3.264,0.0014585625,1522.61054375,0.00031669375,0.055825,6.99605625,"RMS_46","One.Hour","01","04","Screened","46","Type_4"
"38","RMS_46 02.02.04a.tif ",48.6951,32.1162,37,44,7.3441,1.9893,58.169,48.764,1.67,3.808,0.001413,1269.445925,0.00037425625,0.057173125,7.0104625,"RMS_46","One.Hour","02","04","Sequential","46","Type_4"
"39","RMS_46 02.02.05a.tif ",48.3458,31.082,36,43,7.6606,1.9812,57.457,48.209,1.638,3.66,0.0016155,1220.3527125,0.0003832125,0.058716875,6.87188125,"RMS_46","One.Hour","02","05","Sequential","46","Type_4"
"40","RMS_46 02.02.05b.tif ",59.9296,35.973,45,55,2.7983,1.213,69.78,59.939,1.482,2.671,0.00107590625,1780.823725,0.00024322,0.04802875,7.21208125,"RMS_46","One.Hour","02","05","Screened","46","Type_4"
"41","RMS_46 02.02.06a.tif ",63.6812,37.4832,51,59,2.3528,1.1453,73.955,63.64,1.44,2.545,0.0011014375,1927.00564375,0.000225618125,0.048050625,7.19369375,"RMS_46","One.Hour","02","06","Sequential","46","Type_4"
"42","RMS_46 02.02.06b.tif ",71.9029,43.0257,54,65,1.2639,0.9848,83.736,72.005,1.432,2.462,0.00090851875,2415.50180625,0.0001889975,0.04402,7.3741125,"RMS_46","One.Hour","02","06","Screened","46","Type_4"
"43","RMS_46 02.02.07b.tif ",72.6882,42.162,59,68,1.35,0.9649,84.045,72.617,1.416,2.363,0.001103125,2426.39490625,0.0001802525,0.0463675,7.1758125,"RMS_46","One.Hour","02","07","Screened","46","Type_4"
"44","RMS_46 02.02.08b.tif ",73.8658,41.6066,59,68,1.2306,0.8869,84.796,73.793,1.39,2.264,0.001085625,2358.38406875,0.000186046875,0.0463675,7.17391875,"RMS_46","One.Hour","02","08","Screened","46","Type_4"
"45","RMS_46 03.01.01a.tif ",56.2875,34.5638,43,52,4.0058,1.4243,66.051,56.228,1.518,2.929,0.00086171875,1567.90144375,0.0002896125,0.047568125,7.4515375,"RMS_46","Five.Hours","01","01","Sequential","46","Type_4"
"46","RMS_46 03.01.01b.tif ",55.8962,35.9399,43,50,4.0991,1.5511,66.524,55.913,1.56,3.117,0.001194625,1639.05243125,0.00028445,0.05201875,7.17559375,"RMS_46","Five.Hours","01","01","Screened","46","Type_4"
"47","RMS_46 03.01.02a.tif ",56.0322,36.6073,41,51,3.8933,1.5302,66.922,56.34,1.582,3.178,0.001055775,1659.00389375,0.0002854625,0.050216875,7.30104375,"RMS_46","Five.Hours","01","02","Sequential","46","Type_4"
"48","RMS_46 03.01.02b.tif ",51.6665,34.19,39,45,5.7205,1.795,61.778,51.501,1.641,3.584,0.0013373125,1393.4983,0.00034665625,0.055435625,7.0689125,"RMS_46","Five.Hours","01","02","Screened","46","Type_4"
"49","RMS_46 03.01.03a.tif ",70.4221,43.8231,53,63,1.0672,0.9379,82.783,70.134,1.464,2.519,0.00042355,2281.43800625,0.000212315,0.03810875,8.1139375,"RMS_46","Five.Hours","01","03","Sequential","46","Type_4"
"50","RMS_46 03.01.03b.tif ",58.0241,37.1093,44,51,3.3934,1.4349,68.898,57.922,1.541,3.009,0.0013365625,1693.8070125,0.0002807875,0.053410625,7.0598,"RMS_46","Five.Hours","01","03","Screened","46","Type_4"
"51","RMS_46 03.01.04b.tif ",55.5856,36.415,41,48,3.9498,1.5518,66.411,55.632,1.585,3.219,0.0012794375,1600.89224375,0.00029979375,0.053605,7.1227375,"RMS_46","Five.Hours","01","04","Screened","46","Type_4"
"52","RMS_46 03.02.04a.tif ",52.6216,34.2519,38,48,5.1466,1.7008,62.622,52.639,1.609,3.406,0.0012518125,1460.8958625,0.00032305,0.05376625,7.1303875,"RMS_46","Five.Hours","02","04","Sequential","46","Type_4"
